Region,Month/Year,Occupancy Rate,Room nights sold (Rounded to nearest thousand)
South Shore,January 2007,0,6000
Halifax Metro,January 2007,0,73000
Eastern Shore,January 2007,0,0
Cape Breton,January 2007,0,12000
Northumberland Shore,January 2007,0,8000
Bay of Fundy/Annapolis Valley,January 2007,0,13000
Yarmouth/Acadian Shores,January 2007,0,3000
Province,January 2007,0,116000
South Shore,February 2007,0,7000
Halifax Metro,February 2007,0,82000
Eastern Shore,February 2007,0,0
Cape Breton,February 2007,0,12000
Northumberland Shore,February 2007,0,7000
Bay of Fundy/Annapolis Valley,February 2007,0,15000
Yarmouth/Acadian Shores,February 2007,0,4000
Province,February 2007,0,128000
South Shore,March 2007,0,10000
Halifax Metro,March 2007,0,100000
Eastern Shore,March 2007,0,0
Cape Breton,March 2007,0,18000
Northumberland Shore,March 2007,0,10000
Bay of Fundy/Annapolis Valley,March 2007,0,18000
Yarmouth/Acadian Shores,March 2007,0,4000
Province,March 2007,0,160000
South Shore,April 2007,0,8000
Halifax Metro,April 2007,0,98000
Eastern Shore,April 2007,0,0
Cape Breton,April 2007,0,14000
Northumberland Shore,April 2007,0,8000
Bay of Fundy/Annapolis Valley,April 2007,0,16000
Yarmouth/Acadian Shores,April 2007,0,5000
Province,April 2007,0,150000
South Shore,May 2007,0,14000
Halifax Metro,May 2007,0,119000
Eastern Shore,May 2007,0,1000
Cape Breton,May 2007,0,25000
Northumberland Shore,May 2007,0,21000
Bay of Fundy/Annapolis Valley,May 2007,0,31000
Yarmouth/Acadian Shores,May 2007,0,5000
Province,May 2007,0,217000
South Shore,June 2007,0,18000
Halifax Metro,June 2007,0,136000
Eastern Shore,June 2007,0,3000
Cape Breton,June 2007,0,41000
Northumberland Shore,June 2007,0,20000
Bay of Fundy/Annapolis Valley,June 2007,0,34000
Yarmouth/Acadian Shores,June 2007,0,6000
Province,June 2007,0,259000
South Shore,July 2007,0,31000
Halifax Metro,July 2007,0,161000
Eastern Shore,July 2007,0,4000
Cape Breton,July 2007,0,74000
Northumberland Shore,July 2007,0,33000
Bay of Fundy/Annapolis Valley,July 2007,0,58000
Yarmouth/Acadian Shores,July 2007,0,8000
Province,July 2007,0,370000
South Shore,August 2007,0,34000
Halifax Metro,August 2007,0,148000
Eastern Shore,August 2007,0,6000
Cape Breton,August 2007,0,82000
Northumberland Shore,August 2007,0,38000
Bay of Fundy/Annapolis Valley,August 2007,0,59000
Yarmouth/Acadian Shores,August 2007,0,9000
Province,August 2007,0,374000
South Shore,September 2007,0,26000
Halifax Metro,September 2007,0,138000
Eastern Shore,September 2007,0,5000
Cape Breton,September 2007,0,63000
Northumberland Shore,September 2007,0,22000
Bay of Fundy/Annapolis Valley,September 2007,0,45000
Yarmouth/Acadian Shores,September 2007,0,7000
Province,September 2007,0,306000
South Shore,October 2007,0,16000
Halifax Metro,October 2007,0,124000
Eastern Shore,October 2007,0,3000
Cape Breton,October 2007,0,45000
Northumberland Shore,October 2007,0,16000
Bay of Fundy/Annapolis Valley,October 2007,0,31000
Yarmouth/Acadian Shores,October 2007,0,5000
Province,October 2007,0,240000
South Shore,November 2007,0,10000
Halifax Metro,November 2007,0,100000
Eastern Shore,November 2007,0,1000
Cape Breton,November 2007,0,16000
Northumberland Shore,November 2007,0,11000
Bay of Fundy/Annapolis Valley,November 2007,0,19000
Yarmouth/Acadian Shores,November 2007,0,4000
Province,November 2007,0,161000
South Shore,December 2007,0,7000
Halifax Metro,December 2007,0,70000
Eastern Shore,December 2007,0,0
Cape Breton,December 2007,0,12000
Northumberland Shore,December 2007,0,7000
Bay of Fundy/Annapolis Valley,December 2007,0,11000
Yarmouth/Acadian Shores,December 2007,0,3000
Province,December 2007,0,110000
South Shore,January 2008,0,6000
Halifax Metro,January 2008,0,75000
Eastern Shore,January 2008,0,0
Cape Breton,January 2008,0,12000
Northumberland Shore,January 2008,0,8000
Bay of Fundy/Annapolis Valley,January 2008,0,15000
Yarmouth/Acadian Shores,January 2008,0,3000
Province,January 2008,0,120000
South Shore,February 2008,0,9000
Halifax Metro,February 2008,0,83000
Eastern Shore,February 2008,0,0
Cape Breton,February 2008,0,13000
Northumberland Shore,February 2008,0,8000
Bay of Fundy/Annapolis Valley,February 2008,0,15000
Yarmouth/Acadian Shores,February 2008,0,4000
Province,February 2008,0,132000
South Shore,March 2008,0,10000
Halifax Metro,March 2008,0,98000
Eastern Shore,March 2008,0,0
Cape Breton,March 2008,0,17000
Northumberland Shore,March 2008,0,9000
Bay of Fundy/Annapolis Valley,March 2008,0,19000
Yarmouth/Acadian Shores,March 2008,0,4000
Province,March 2008,0,158000
South Shore,April 2008,0,10000
Halifax Metro,April 2008,0,111000
Eastern Shore,April 2008,0,0
Cape Breton,April 2008,0,17000
Northumberland Shore,April 2008,0,10000
Bay of Fundy/Annapolis Valley,April 2008,0,18000
Yarmouth/Acadian Shores,April 2008,0,5000
Province,April 2008,0,172000
South Shore,May 2008,0,14000
Halifax Metro,May 2008,0,139000
Eastern Shore,May 2008,0,2000
Cape Breton,May 2008,0,25000
Northumberland Shore,May 2008,0,17000
Bay of Fundy/Annapolis Valley,May 2008,0,29000
Yarmouth/Acadian Shores,May 2008,0,5000
Province,May 2008,0,231000
South Shore,June 2008,0,19000
Halifax Metro,June 2008,0,147000
Eastern Shore,June 2008,0,3000
Cape Breton,June 2008,0,41000
Northumberland Shore,June 2008,0,21000
Bay of Fundy/Annapolis Valley,June 2008,0,36000
Yarmouth/Acadian Shores,June 2008,0,7000
Province,June 2008,0,275000
South Shore,July 2008,0,30000
Halifax Metro,July 2008,0,159000
Eastern Shore,July 2008,0,5000
Cape Breton,July 2008,0,70000
Northumberland Shore,July 2008,0,33000
Bay of Fundy/Annapolis Valley,July 2008,0,54000
Yarmouth/Acadian Shores,July 2008,0,8000
Province,July 2008,0,358000
South Shore,August 2008,0,33000
Halifax Metro,August 2008,0,160000
Eastern Shore,August 2008,0,5000
Cape Breton,August 2008,0,75000
Northumberland Shore,August 2008,0,33000
Bay of Fundy/Annapolis Valley,August 2008,0,53000
Yarmouth/Acadian Shores,August 2008,0,9000
Province,August 2008,0,368000
South Shore,September 2008,0,25000
Halifax Metro,September 2008,0,139000
Eastern Shore,September 2008,0,4000
Cape Breton,September 2008,0,53000
Northumberland Shore,September 2008,0,20000
Bay of Fundy/Annapolis Valley,September 2008,0,41000
Yarmouth/Acadian Shores,September 2008,0,8000
Province,September 2008,0,291000
South Shore,October 2008,0,16000
Halifax Metro,October 2008,0,119000
Eastern Shore,October 2008,0,3000
Cape Breton,October 2008,0,47000
Northumberland Shore,October 2008,0,16000
Bay of Fundy/Annapolis Valley,October 2008,0,31000
Yarmouth/Acadian Shores,October 2008,0,5000
Province,October 2008,0,238000
South Shore,November 2008,0,8000
Halifax Metro,November 2008,0,97000
Eastern Shore,November 2008,0,1000
Cape Breton,November 2008,0,16000
Northumberland Shore,November 2008,0,12000
Bay of Fundy/Annapolis Valley,November 2008,0,18000
Yarmouth/Acadian Shores,November 2008,0,5000
Province,November 2008,0,157000
South Shore,December 2008,0,7000
Halifax Metro,December 2008,0,72000
Eastern Shore,December 2008,0,0
Cape Breton,December 2008,0,12000
Northumberland Shore,December 2008,0,8000
Bay of Fundy/Annapolis Valley,December 2008,0,11000
Yarmouth/Acadian Shores,December 2008,0,3000
Province,December 2008,0,114000
South Shore,January 2009,0,6000
Halifax Metro,January 2009,0,70000
Eastern Shore,January 2009,0,0
Cape Breton,January 2009,0,12000
Northumberland Shore,January 2009,0,8000
Bay of Fundy/Annapolis Valley,January 2009,0,12000
Yarmouth/Acadian Shores,January 2009,0,3000
Province,January 2009,0,111000
South Shore,February 2009,0,7000
Halifax Metro,February 2009,0,81000
Eastern Shore,February 2009,0,0
Cape Breton,February 2009,0,13000
Northumberland Shore,February 2009,0,8000
Bay of Fundy/Annapolis Valley,February 2009,0,14000
Yarmouth/Acadian Shores,February 2009,0,4000
Province,February 2009,0,127000
South Shore,March 2009,0,8000
Halifax Metro,March 2009,0,95000
Eastern Shore,March 2009,0,0
Cape Breton,March 2009,0,17000
Northumberland Shore,March 2009,0,11000
Bay of Fundy/Annapolis Valley,March 2009,0,18000
Yarmouth/Acadian Shores,March 2009,0,4000
Province,March 2009,0,154000
South Shore,April 2009,0,9000
Halifax Metro,April 2009,0,104000
Eastern Shore,April 2009,0,0
Cape Breton,April 2009,0,14000
Northumberland Shore,April 2009,0,9000
Bay of Fundy/Annapolis Valley,April 2009,0,16000
Yarmouth/Acadian Shores,April 2009,0,3000
Province,April 2009,0,156000
South Shore,May 2009,0,13000
Halifax Metro,May 2009,0,121000
Eastern Shore,May 2009,0,1000
Cape Breton,May 2009,0,23000
Northumberland Shore,May 2009,0,14000
Bay of Fundy/Annapolis Valley,May 2009,0,28000
Yarmouth/Acadian Shores,May 2009,0,5000
Province,May 2009,0,205000
South Shore,June 2009,0,18000
Halifax Metro,June 2009,0,138000
Eastern Shore,June 2009,0,2000
Cape Breton,June 2009,0,39000
Northumberland Shore,June 2009,0,17000
Bay of Fundy/Annapolis Valley,June 2009,0,33000
Yarmouth/Acadian Shores,June 2009,0,6000
Province,June 2009,0,252000
South Shore,July 2009,0,28000
Halifax Metro,July 2009,0,161000
Eastern Shore,July 2009,0,4000
Cape Breton,July 2009,0,71000
Northumberland Shore,July 2009,0,32000
Bay of Fundy/Annapolis Valley,July 2009,0,55000
Yarmouth/Acadian Shores,July 2009,0,8000
Province,July 2009,0,359000
South Shore,August 2009,0,32000
Halifax Metro,August 2009,0,155000
Eastern Shore,August 2009,0,5000
Cape Breton,August 2009,0,76000
Northumberland Shore,August 2009,0,31000
Bay of Fundy/Annapolis Valley,August 2009,0,58000
Yarmouth/Acadian Shores,August 2009,0,9000
Province,August 2009,0,366000
South Shore,September 2009,0,25000
Halifax Metro,September 2009,0,131000
Eastern Shore,September 2009,0,4000
Cape Breton,September 2009,0,55000
Northumberland Shore,September 2009,0,23000
Bay of Fundy/Annapolis Valley,September 2009,0,43000
Yarmouth/Acadian Shores,September 2009,0,9000
Province,September 2009,0,289000
South Shore,October 2009,0,16000
Halifax Metro,October 2009,0,116000
Eastern Shore,October 2009,0,2000
Cape Breton,October 2009,0,46000
Northumberland Shore,October 2009,0,16000
Bay of Fundy/Annapolis Valley,October 2009,0,30000
Yarmouth/Acadian Shores,October 2009,0,5000
Province,October 2009,0,232000
South Shore,November 2009,0,7000
Halifax Metro,November 2009,0,95000
Eastern Shore,November 2009,0,1000
Cape Breton,November 2009,0,18000
Northumberland Shore,November 2009,0,12000
Bay of Fundy/Annapolis Valley,November 2009,0,18000
Yarmouth/Acadian Shores,November 2009,0,5000
Province,November 2009,0,156000
South Shore,December 2009,0,6000
Halifax Metro,December 2009,0,66000
Eastern Shore,December 2009,0,0
Cape Breton,December 2009,0,13000
Northumberland Shore,December 2009,0,9000
Bay of Fundy/Annapolis Valley,December 2009,0,13000
Yarmouth/Acadian Shores,December 2009,0,3000
Province,December 2009,0,110000
South Shore,January 2010,0,6000
Halifax Metro,January 2010,0,68000
Eastern Shore,January 2010,0,0
Cape Breton,January 2010,0,11000
Northumberland Shore,January 2010,0,8000
Bay of Fundy/Annapolis Valley,January 2010,0,13000
Yarmouth/Acadian Shores,January 2010,0,3000
Province,January 2010,0,109000
South Shore,February 2010,0,7000
Halifax Metro,February 2010,0,81000
Eastern Shore,February 2010,0,0
Cape Breton,February 2010,0,12000
Northumberland Shore,February 2010,0,8000
Bay of Fundy/Annapolis Valley,February 2010,0,15000
Yarmouth/Acadian Shores,February 2010,0,3000
Province,February 2010,0,126000
South Shore,March 2010,0,9000
Halifax Metro,March 2010,0,107000
Eastern Shore,March 2010,0,0
Cape Breton,March 2010,0,19000
Northumberland Shore,March 2010,0,11000
Bay of Fundy/Annapolis Valley,March 2010,0,18000
Yarmouth/Acadian Shores,March 2010,0,4000
Province,March 2010,0,168000
South Shore,April 2010,0,9000
Halifax Metro,April 2010,0,101000
Eastern Shore,April 2010,0,1000
Cape Breton,April 2010,0,14000
Northumberland Shore,April 2010,0,11000
Bay of Fundy/Annapolis Valley,April 2010,0,19000
Yarmouth/Acadian Shores,April 2010,0,4000
Province,April 2010,0,158000
South Shore,May 2010,0,13000
Halifax Metro,May 2010,0,120000
Eastern Shore,May 2010,0,1000
Cape Breton,May 2010,0,24000
Northumberland Shore,May 2010,0,15000
Bay of Fundy/Annapolis Valley,May 2010,0,26000
Yarmouth/Acadian Shores,May 2010,0,5000
Province,May 2010,0,204000
South Shore,June 2010,0,17000
Halifax Metro,June 2010,0,147000
Eastern Shore,June 2010,0,2000
Cape Breton,June 2010,0,41000
Northumberland Shore,June 2010,0,17000
Bay of Fundy/Annapolis Valley,June 2010,0,33000
Yarmouth/Acadian Shores,June 2010,0,5000
Province,June 2010,0,263000
South Shore,July 2010,0,28000
Halifax Metro,July 2010,0,161000
Eastern Shore,July 2010,0,4000
Cape Breton,July 2010,0,68000
Northumberland Shore,July 2010,0,31000
Bay of Fundy/Annapolis Valley,July 2010,0,52000
Yarmouth/Acadian Shores,July 2010,0,8000
Province,July 2010,0,353000
South Shore,August 2010,0,32000
Halifax Metro,August 2010,0,149000
Eastern Shore,August 2010,0,5000
Cape Breton,August 2010,0,75000
Northumberland Shore,August 2010,0,30000
Bay of Fundy/Annapolis Valley,August 2010,0,52000
Yarmouth/Acadian Shores,August 2010,0,7000
Province,August 2010,0,351000
South Shore,September 2010,0,22000
Halifax Metro,September 2010,0,142000
Eastern Shore,September 2010,0,4000
Cape Breton,September 2010,0,57000
Northumberland Shore,September 2010,0,22000
Bay of Fundy/Annapolis Valley,September 2010,0,42000
Yarmouth/Acadian Shores,September 2010,0,6000
Province,September 2010,0,296000
South Shore,October 2010,0,15000
Halifax Metro,October 2010,0,118000
Eastern Shore,October 2010,0,3000
Cape Breton,October 2010,0,42000
Northumberland Shore,October 2010,0,16000
Bay of Fundy/Annapolis Valley,October 2010,0,32000
Yarmouth/Acadian Shores,October 2010,0,6000
Province,October 2010,0,234000
South Shore,November 2010,0,8000
Halifax Metro,November 2010,0,95000
Eastern Shore,November 2010,0,1000
Cape Breton,November 2010,0,18000
Northumberland Shore,November 2010,0,13000
Bay of Fundy/Annapolis Valley,November 2010,0,22000
Yarmouth/Acadian Shores,November 2010,0,6000
Province,November 2010,0,162000
South Shore,December 2010,0,6000
Halifax Metro,December 2010,0,64000
Eastern Shore,December 2010,0,0
Cape Breton,December 2010,0,13000
Northumberland Shore,December 2010,0,9000
Bay of Fundy/Annapolis Valley,December 2010,0,14000
Yarmouth/Acadian Shores,December 2010,0,3000
Province,December 2010,0,110000
South Shore,January 2011,0,6000
Halifax Metro,January 2011,0,72000
Eastern Shore,January 2011,0,0
Cape Breton,January 2011,0,12000
Northumberland Shore,January 2011,0,8000
Bay of Fundy/Annapolis Valley,January 2011,0,12000
Yarmouth/Acadian Shores,January 2011,0,3000
Province,January 2011,0,114000
South Shore,February 2011,0,7000
Halifax Metro,February 2011,0,97000
Eastern Shore,February 2011,0,1000
Cape Breton,February 2011,0,13000
Northumberland Shore,February 2011,0,9000
Bay of Fundy/Annapolis Valley,February 2011,0,17000
Yarmouth/Acadian Shores,February 2011,0,3000
Province,February 2011,0,146000
South Shore,March 2011,0,8000
Halifax Metro,March 2011,0,105000
Eastern Shore,March 2011,0,1000
Cape Breton,March 2011,0,16000
Northumberland Shore,March 2011,0,13000
Bay of Fundy/Annapolis Valley,March 2011,0,19000
Yarmouth/Acadian Shores,March 2011,0,4000
Province,March 2011,0,166000
South Shore,April 2011,0,8000
Halifax Metro,April 2011,0,101000
Eastern Shore,April 2011,0,0
Cape Breton,April 2011,0,14000
Northumberland Shore,April 2011,0,10000
Bay of Fundy/Annapolis Valley,April 2011,0,17000
Yarmouth/Acadian Shores,April 2011,0,4000
Province,April 2011,0,154000
South Shore,May 2011,0,12000
Halifax Metro,May 2011,0,114000
Eastern Shore,May 2011,0,1000
Cape Breton,May 2011,0,24000
Northumberland Shore,May 2011,0,17000
Bay of Fundy/Annapolis Valley,May 2011,0,29000
Yarmouth/Acadian Shores,May 2011,0,4000
Province,May 2011,0,201000
South Shore,June 2011,0,17000
Halifax Metro,June 2011,0,133000
Eastern Shore,June 2011,0,2000
Cape Breton,June 2011,0,37000
Northumberland Shore,June 2011,0,20000
Bay of Fundy/Annapolis Valley,June 2011,0,33000
Yarmouth/Acadian Shores,June 2011,0,5000
Province,June 2011,0,246000
South Shore,July 2011,0,26000
Halifax Metro,July 2011,0,159000
Eastern Shore,July 2011,0,4000
Cape Breton,July 2011,0,70000
Northumberland Shore,July 2011,0,35000
Bay of Fundy/Annapolis Valley,July 2011,0,50000
Yarmouth/Acadian Shores,July 2011,0,6000
Province,July 2011,0,348000
South Shore,August 2011,0,29000
Halifax Metro,August 2011,0,153000
Eastern Shore,August 2011,0,4000
Cape Breton,August 2011,0,70000
Northumberland Shore,August 2011,0,30000
Bay of Fundy/Annapolis Valley,August 2011,0,48000
Yarmouth/Acadian Shores,August 2011,0,7000
Province,August 2011,0,340000
South Shore,September 2011,0,22000
Halifax Metro,September 2011,0,134000
Eastern Shore,September 2011,0,4000
Cape Breton,September 2011,0,54000
Northumberland Shore,September 2011,0,21000
Bay of Fundy/Annapolis Valley,September 2011,0,39000
Yarmouth/Acadian Shores,September 2011,0,6000
Province,September 2011,0,279000
South Shore,October 2011,0,16000
Halifax Metro,October 2011,0,118000
Eastern Shore,October 2011,0,2000
Cape Breton,October 2011,0,41000
Northumberland Shore,October 2011,0,18000
Bay of Fundy/Annapolis Valley,October 2011,0,29000
Yarmouth/Acadian Shores,October 2011,0,5000
Province,October 2011,0,230000
South Shore,November 2011,0,9000
Halifax Metro,November 2011,0,102000
Eastern Shore,November 2011,0,0
Cape Breton,November 2011,0,18000
Northumberland Shore,November 2011,0,14000
Bay of Fundy/Annapolis Valley,November 2011,0,19000
Yarmouth/Acadian Shores,November 2011,0,5000
Province,November 2011,0,166000
South Shore,December 2011,0,7000
Halifax Metro,December 2011,0,69000
Eastern Shore,December 2011,0,0
Cape Breton,December 2011,0,12000
Northumberland Shore,December 2011,0,9000
Bay of Fundy/Annapolis Valley,December 2011,0,12000
Yarmouth/Acadian Shores,December 2011,0,3000
Province,December 2011,0,113000
South Shore,January 2012,0,6000
Halifax Metro,January 2012,0,72000
Eastern Shore,January 2012,0,0
Cape Breton,January 2012,0,13000
Northumberland Shore,January 2012,0,10000
Bay of Fundy/Annapolis Valley,January 2012,0,10000
Yarmouth/Acadian Shores,January 2012,0,3000
Province,January 2012,0,114000
South Shore,February 2012,0,7000
Halifax Metro,February 2012,0,84000
Eastern Shore,February 2012,0,0
Cape Breton,February 2012,0,12000
Northumberland Shore,February 2012,0,11000
Bay of Fundy/Annapolis Valley,February 2012,0,15000
Yarmouth/Acadian Shores,February 2012,0,3000
Province,February 2012,0,132000
South Shore,March 2012,0,8000
Halifax Metro,March 2012,0,105000
Eastern Shore,March 2012,0,0
Cape Breton,March 2012,0,16000
Northumberland Shore,March 2012,0,12000
Bay of Fundy/Annapolis Valley,March 2012,0,19000
Yarmouth/Acadian Shores,March 2012,0,4000
Province,March 2012,0,163000
South Shore,April 2012,0,7000
Halifax Metro,April 2012,0,98000
Eastern Shore,April 2012,0,0
Cape Breton,April 2012,0,13000
Northumberland Shore,April 2012,0,10000
Bay of Fundy/Annapolis Valley,April 2012,0,16000
Yarmouth/Acadian Shores,April 2012,0,4000
Province,April 2012,0,147000
South Shore,May 2012,0,11000
Halifax Metro,May 2012,0,128000
Eastern Shore,May 2012,0,1000
Cape Breton,May 2012,0,23000
Northumberland Shore,May 2012,0,16000
Bay of Fundy/Annapolis Valley,May 2012,0,27000
Yarmouth/Acadian Shores,May 2012,0,5000
Province,May 2012,0,211000
South Shore,June 2012,0,15000
Halifax Metro,June 2012,0,135000
Eastern Shore,June 2012,0,2000
Cape Breton,June 2012,0,36000
Northumberland Shore,June 2012,0,18000
Bay of Fundy/Annapolis Valley,June 2012,0,29000
Yarmouth/Acadian Shores,June 2012,0,5000
Province,June 2012,0,241000
South Shore,July 2012,0,23000
Halifax Metro,July 2012,0,159000
Eastern Shore,July 2012,0,3000
Cape Breton,July 2012,0,62000
Northumberland Shore,July 2012,0,32000
Bay of Fundy/Annapolis Valley,July 2012,0,48000
Yarmouth/Acadian Shores,July 2012,0,6000
Province,July 2012,0,334000
South Shore,August 2012,0,27000
Halifax Metro,August 2012,0,151000
Eastern Shore,August 2012,0,4000
Cape Breton,August 2012,0,77000
Northumberland Shore,August 2012,0,32000
Bay of Fundy/Annapolis Valley,August 2012,0,51000
Yarmouth/Acadian Shores,August 2012,0,7000
Province,August 2012,0,349000
South Shore,September 2012,0,21000
Halifax Metro,September 2012,0,132000
Eastern Shore,September 2012,0,3000
Cape Breton,September 2012,0,51000
Northumberland Shore,September 2012,0,21000
Bay of Fundy/Annapolis Valley,September 2012,0,35000
Yarmouth/Acadian Shores,September 2012,0,5000
Province,September 2012,0,268000
South Shore,October 2012,0,15000
Halifax Metro,October 2012,0,119000
Eastern Shore,October 2012,0,2000
Cape Breton,October 2012,0,42000
Northumberland Shore,October 2012,0,17000
Bay of Fundy/Annapolis Valley,October 2012,0,26000
Yarmouth/Acadian Shores,October 2012,0,6000
Province,October 2012,0,225000
South Shore,November 2012,0,11000
Halifax Metro,November 2012,0,98000
Eastern Shore,November 2012,0,1000
Cape Breton,November 2012,0,15000
Northumberland Shore,November 2012,0,12000
Bay of Fundy/Annapolis Valley,November 2012,0,17000
