Region,Month/Year,Occupancy Rate,Room nights sold (Rounded to nearest thousand)
Yarmouth/Acadian Shores,November 2012,0,6000
Province,November 2012,0,160000
South Shore,December 2012,0,8000
Halifax Metro,December 2012,0,70000
Eastern Shore,December 2012,0,0
Cape Breton,December 2012,0,11000
Northumberland Shore,December 2012,0,8000
Bay of Fundy/Annapolis Valley,December 2012,0,10000
Yarmouth/Acadian Shores,December 2012,0,2000
Province,December 2012,0,110000
South Shore,January 2013,0,6000
Halifax Metro,January 2013,0,75000
Eastern Shore,January 2013,0,0
Cape Breton,January 2013,0,11000
Northumberland Shore,January 2013,0,8000
Bay of Fundy/Annapolis Valley,January 2013,0,11000
Yarmouth/Acadian Shores,January 2013,0,2000
Province,January 2013,0,114000
South Shore,February 2013,0,7000
Halifax Metro,February 2013,0,81000
Eastern Shore,February 2013,0,0
Cape Breton,February 2013,0,11000
Northumberland Shore,February 2013,0,10000
Bay of Fundy/Annapolis Valley,February 2013,0,13000
Yarmouth/Acadian Shores,February 2013,0,3000
Province,February 2013,0,126000
South Shore,March 2013,0,9000
Halifax Metro,March 2013,0,101000
Eastern Shore,March 2013,0,0
Cape Breton,March 2013,0,15000
Northumberland Shore,March 2013,0,11000
Bay of Fundy/Annapolis Valley,March 2013,0,17000
Yarmouth/Acadian Shores,March 2013,0,3000
Province,March 2013,0,156000
South Shore,April 2013,0,9000
Halifax Metro,April 2013,0,100000
Eastern Shore,April 2013,0,0
Cape Breton,April 2013,0,14000
Northumberland Shore,April 2013,0,10000
Bay of Fundy/Annapolis Valley,April 2013,0,16000
Yarmouth/Acadian Shores,April 2013,0,3000
Province,April 2013,0,152000
South Shore,May 2013,0,11000
Halifax Metro,May 2013,0,118000
Eastern Shore,May 2013,0,1000
Cape Breton,May 2013,0,22000
Northumberland Shore,May 2013,0,17000
Bay of Fundy/Annapolis Valley,May 2013,0,25000
Yarmouth/Acadian Shores,May 2013,0,4000
Province,May 2013,0,197000
South Shore,June 2013,0,16000
Halifax Metro,June 2013,0,130000
Eastern Shore,June 2013,0,2000
Cape Breton,June 2013,0,39000
Northumberland Shore,June 2013,0,20000
Bay of Fundy/Annapolis Valley,June 2013,0,29000
Yarmouth/Acadian Shores,June 2013,0,4000
Province,June 2013,0,241000
South Shore,July 2013,0,25000
Halifax Metro,July 2013,0,147000
Eastern Shore,July 2013,0,3000
Cape Breton,July 2013,0,68000
Northumberland Shore,July 2013,0,29000
Bay of Fundy/Annapolis Valley,July 2013,0,46000
Yarmouth/Acadian Shores,July 2013,0,6000
Province,July 2013,0,324000
South Shore,August 2013,0,30000
Halifax Metro,August 2013,0,147000
Eastern Shore,August 2013,0,4000
Cape Breton,August 2013,0,80000
Northumberland Shore,August 2013,0,33000
Bay of Fundy/Annapolis Valley,August 2013,0,51000
Yarmouth/Acadian Shores,August 2013,0,7000
Province,August 2013,0,352000
South Shore,September 2013,0,23000
Halifax Metro,September 2013,0,128000
Eastern Shore,September 2013,0,3000
Cape Breton,September 2013,0,52000
Northumberland Shore,September 2013,0,21000
Bay of Fundy/Annapolis Valley,September 2013,0,32000
Yarmouth/Acadian Shores,September 2013,0,7000
Province,September 2013,0,266000
South Shore,October 2013,0,17000
Halifax Metro,October 2013,0,121000
Eastern Shore,October 2013,0,2000
Cape Breton,October 2013,0,44000
Northumberland Shore,October 2013,0,18000
Bay of Fundy/Annapolis Valley,October 2013,0,27000
Yarmouth/Acadian Shores,October 2013,0,5000
Province,October 2013,0,234000
South Shore,November 2013,0,9000
Halifax Metro,November 2013,0,101000
Eastern Shore,November 2013,0,0
Cape Breton,November 2013,0,16000
Northumberland Shore,November 2013,0,12000
Bay of Fundy/Annapolis Valley,November 2013,0,17000
Yarmouth/Acadian Shores,November 2013,0,5000
Province,November 2013,0,161000
South Shore,December 2013,0,6000
Halifax Metro,December 2013,0,74000
Eastern Shore,December 2013,0,0
Cape Breton,December 2013,0,14000
Northumberland Shore,December 2013,0,8000
Bay of Fundy/Annapolis Valley,December 2013,0,11000
Yarmouth/Acadian Shores,December 2013,0,3000
Province,December 2013,0,116000
South Shore,January 2014,0,9000
Halifax Metro,January 2014,0,77000
Eastern Shore,January 2014,0,0
Cape Breton,January 2014,0,13000
Northumberland Shore,January 2014,0,9000
Bay of Fundy/Annapolis Valley,January 2014,0,12000
Yarmouth/Acadian Shores,January 2014,0,3000
Province,January 2014,0,122000
South Shore,February 2014,0,7000
Halifax Metro,February 2014,0,86000
Eastern Shore,February 2014,0,0
Cape Breton,February 2014,0,13000
Northumberland Shore,February 2014,0,9000
Bay of Fundy/Annapolis Valley,February 2014,0,13000
Yarmouth/Acadian Shores,February 2014,0,3000
Province,February 2014,0,131000
South Shore,March 2014,0,8000
Halifax Metro,March 2014,0,103000
Eastern Shore,March 2014,0,0
Cape Breton,March 2014,0,17000
Northumberland Shore,March 2014,0,10000
Bay of Fundy/Annapolis Valley,March 2014,0,17000
Yarmouth/Acadian Shores,March 2014,0,4000
Province,March 2014,0,159000
South Shore,April 2014,0,8000
Halifax Metro,April 2014,0,104000
Eastern Shore,April 2014,0,0
Cape Breton,April 2014,0,16000
Northumberland Shore,April 2014,0,10000
Bay of Fundy/Annapolis Valley,April 2014,0,16000
Yarmouth/Acadian Shores,April 2014,0,4000
Province,April 2014,0,159000
South Shore,May 2014,0,13000
Halifax Metro,May 2014,0,127000
Eastern Shore,May 2014,0,1000
Cape Breton,May 2014,0,23000
Northumberland Shore,May 2014,0,15000
Bay of Fundy/Annapolis Valley,May 2014,0,26000
Yarmouth/Acadian Shores,May 2014,0,4000
Province,May 2014,0,208000
South Shore,June 2014,0,17000
Halifax Metro,June 2014,0,134000
Eastern Shore,June 2014,0,2000
Cape Breton,June 2014,0,37000
Northumberland Shore,June 2014,0,18000
Bay of Fundy/Annapolis Valley,June 2014,0,29000
Yarmouth/Acadian Shores,June 2014,0,5000
Province,June 2014,0,242000
South Shore,July 2014,0,27000
Halifax Metro,July 2014,0,156000
Eastern Shore,July 2014,0,3000
Cape Breton,July 2014,0,65000
Northumberland Shore,July 2014,0,29000
Bay of Fundy/Annapolis Valley,July 2014,0,52000
Yarmouth/Acadian Shores,July 2014,0,8000
Province,July 2014,0,340000
South Shore,August 2014,0,33000
Halifax Metro,August 2014,0,153000
Eastern Shore,August 2014,0,4000
Cape Breton,August 2014,0,76000
Northumberland Shore,August 2014,0,30000
Bay of Fundy/Annapolis Valley,August 2014,0,51000
Yarmouth/Acadian Shores,August 2014,0,10000
Province,August 2014,0,355000
South Shore,September 2014,0,23000
Halifax Metro,September 2014,0,129000
Eastern Shore,September 2014,0,3000
Cape Breton,September 2014,0,56000
Northumberland Shore,September 2014,0,22000
Bay of Fundy/Annapolis Valley,September 2014,0,36000
Yarmouth/Acadian Shores,September 2014,0,8000
Province,September 2014,0,276000
South Shore,October 2014,0,16000
Halifax Metro,October 2014,0,120000
Eastern Shore,October 2014,0,2000
Cape Breton,October 2014,0,45000
Northumberland Shore,October 2014,0,18000
Bay of Fundy/Annapolis Valley,October 2014,0,27000
Yarmouth/Acadian Shores,October 2014,0,6000
Province,October 2014,0,234000
South Shore,November 2014,0,9000
Halifax Metro,November 2014,0,103000
Eastern Shore,November 2014,0,1000
Cape Breton,November 2014,0,18000
Northumberland Shore,November 2014,0,11000
Bay of Fundy/Annapolis Valley,November 2014,0,17000
Yarmouth/Acadian Shores,November 2014,0,4000
Province,November 2014,0,163000
South Shore,December 2014,0,7000
Halifax Metro,December 2014,0,71000
Eastern Shore,December 2014,0,0
Cape Breton,December 2014,0,13000
Northumberland Shore,December 2014,0,8000
Bay of Fundy/Annapolis Valley,December 2014,0,11000
Yarmouth/Acadian Shores,December 2014,0,3000
Province,December 2014,0,113000
South Shore,January 2015,0,6000
Halifax Metro,January 2015,0,69000
Eastern Shore,January 2015,0,0
Cape Breton,January 2015,0,12000
Northumberland Shore,January 2015,0,8000
Bay of Fundy/Annapolis Valley,January 2015,0,13000
Yarmouth/Acadian Shores,January 2015,0,3000
Province,January 2015,0,110000
South Shore,February 2015,0,7000
Halifax Metro,February 2015,0,83000
Eastern Shore,February 2015,0,0
Cape Breton,February 2015,0,11000
Northumberland Shore,February 2015,0,9000
Bay of Fundy/Annapolis Valley,February 2015,0,14000
Yarmouth/Acadian Shores,February 2015,0,4000
Province,February 2015,0,128000
South Shore,March 2015,0,9000
Halifax Metro,March 2015,0,105000
Eastern Shore,March 2015,0,0
Cape Breton,March 2015,0,17000
Northumberland Shore,March 2015,0,11000
Bay of Fundy/Annapolis Valley,March 2015,0,17000
Yarmouth/Acadian Shores,March 2015,0,4000
Province,March 2015,0,163000
South Shore,April 2015,0,8000
Halifax Metro,April 2015,0,106000
Eastern Shore,April 2015,0,0
Cape Breton,April 2015,0,15000
Northumberland Shore,April 2015,0,10000
Bay of Fundy/Annapolis Valley,April 2015,0,16000
Yarmouth/Acadian Shores,April 2015,0,4000
Province,April 2015,0,159000
South Shore,May 2015,0,12000
Halifax Metro,May 2015,0,117000
Eastern Shore,May 2015,0,1000
Cape Breton,May 2015,0,21000
Northumberland Shore,May 2015,0,19000
Bay of Fundy/Annapolis Valley,May 2015,0,23000
Yarmouth/Acadian Shores,May 2015,0,4000
Province,May 2015,0,197000
South Shore,June 2015,0,17000
Halifax Metro,June 2015,0,132000
Eastern Shore,June 2015,0,2000
Cape Breton,June 2015,0,40000
Northumberland Shore,June 2015,0,20000
Bay of Fundy/Annapolis Valley,June 2015,0,33000
Yarmouth/Acadian Shores,June 2015,0,6000
Province,June 2015,0,250000
South Shore,July 2015,0,28000
Halifax Metro,July 2015,0,160000
Eastern Shore,July 2015,0,3000
Cape Breton,July 2015,0,70000
Northumberland Shore,July 2015,0,32000
Bay of Fundy/Annapolis Valley,July 2015,0,52000
Yarmouth/Acadian Shores,July 2015,0,9000
Province,July 2015,0,354000
South Shore,August 2015,0,31000
Halifax Metro,August 2015,0,158000
Eastern Shore,August 2015,0,4000
Cape Breton,August 2015,0,77000
Northumberland Shore,August 2015,0,28000
Bay of Fundy/Annapolis Valley,August 2015,0,51000
Yarmouth/Acadian Shores,August 2015,0,10000
Province,August 2015,0,359000
South Shore,September 2015,0,25000
Halifax Metro,September 2015,0,144000
Eastern Shore,September 2015,0,3000
Cape Breton,September 2015,0,61000
Northumberland Shore,September 2015,0,23000
Bay of Fundy/Annapolis Valley,September 2015,0,41000
Yarmouth/Acadian Shores,September 2015,0,9000
Province,September 2015,0,307000
South Shore,October 2015,0,17000
Halifax Metro,October 2015,0,115000
Eastern Shore,October 2015,0,2000
Cape Breton,October 2015,0,44000
Northumberland Shore,October 2015,0,17000
Bay of Fundy/Annapolis Valley,October 2015,0,29000
Yarmouth/Acadian Shores,October 2015,0,7000
Province,October 2015,0,231000
South Shore,November 2015,0,9000
Halifax Metro,November 2015,0,98000
Eastern Shore,November 2015,0,0
Cape Breton,November 2015,0,19000
Northumberland Shore,November 2015,0,12000
Bay of Fundy/Annapolis Valley,November 2015,0,17000
Yarmouth/Acadian Shores,November 2015,0,5000
Province,November 2015,0,159000
South Shore,December 2015,0,6000
Halifax Metro,December 2015,0,72000
Eastern Shore,December 2015,0,0
Cape Breton,December 2015,0,13000
Northumberland Shore,December 2015,0,8000
Bay of Fundy/Annapolis Valley,December 2015,0,11000
Yarmouth/Acadian Shores,December 2015,0,3000
Province,December 2015,0,115000
South Shore,January 2016,0,6000
Halifax Metro,January 2016,0,75000
Eastern Shore,January 2016,0,0
Cape Breton,January 2016,0,11000
Northumberland Shore,January 2016,0,9000
Bay of Fundy/Annapolis Valley,January 2016,0,11000
Yarmouth/Acadian Shores,January 2016,0,2000
Province,January 2016,0,115000
South Shore,February 2016,0,6000
Halifax Metro,February 2016,0,78000
Eastern Shore,February 2016,0,0
Cape Breton,February 2016,0,14000
Northumberland Shore,February 2016,0,9000
Bay of Fundy/Annapolis Valley,February 2016,0,13000
Yarmouth/Acadian Shores,February 2016,0,4000
Province,February 2016,0,124000
South Shore,March 2016,0,8000
Halifax Metro,March 2016,0,98000
Eastern Shore,March 2016,0,0
Cape Breton,March 2016,0,16000
Northumberland Shore,March 2016,0,10000
Bay of Fundy/Annapolis Valley,March 2016,0,16000
Yarmouth/Acadian Shores,March 2016,0,3000
Province,March 2016,0,151000
South Shore,April 2016,0,8000
Halifax Metro,April 2016,0,110000
Eastern Shore,April 2016,0,0
Cape Breton,April 2016,0,19000
Northumberland Shore,April 2016,0,11000
Bay of Fundy/Annapolis Valley,April 2016,0,18000
Yarmouth/Acadian Shores,April 2016,0,4000
Province,April 2016,0,170000
South Shore,May 2016,0,11000
Halifax Metro,May 2016,0,124000
Eastern Shore,May 2016,0,1000
Cape Breton,May 2016,0,27000
Northumberland Shore,May 2016,0,15000
Bay of Fundy/Annapolis Valley,May 2016,0,23000
Yarmouth/Acadian Shores,May 2016,0,4000
Province,May 2016,0,205000
South Shore,June 2016,0,18000
Halifax Metro,June 2016,0,141000
Eastern Shore,June 2016,0,2000
Cape Breton,June 2016,0,46000
Northumberland Shore,June 2016,0,19000
Bay of Fundy/Annapolis Valley,June 2016,0,33000
Yarmouth/Acadian Shores,June 2016,0,7000
Province,June 2016,0,267000
South Shore,July 2016,0,30000
Halifax Metro,July 2016,0,165000
Eastern Shore,July 2016,0,4000
Cape Breton,July 2016,0,78000
Northumberland Shore,July 2016,0,31000
Bay of Fundy/Annapolis Valley,July 2016,0,56000
Yarmouth/Acadian Shores,July 2016,0,10000
Province,July 2016,0,373000
South Shore,August 2016,0,33000
Halifax Metro,August 2016,0,157000
Eastern Shore,August 2016,0,4000
Cape Breton,August 2016,0,86000
Northumberland Shore,August 2016,0,29000
Bay of Fundy/Annapolis Valley,August 2016,0,52000
Yarmouth/Acadian Shores,August 2016,0,11000
Province,August 2016,0,372000
South Shore,September 2016,0,27000
Halifax Metro,September 2016,0,151000
Eastern Shore,September 2016,0,3000
Cape Breton,September 2016,0,69000
Northumberland Shore,September 2016,0,24000
Bay of Fundy/Annapolis Valley,September 2016,0,46000
Yarmouth/Acadian Shores,September 2016,0,9000
Province,September 2016,0,329000
South Shore,October 2016,0,16000
Halifax Metro,October 2016,0,119000
Eastern Shore,October 2016,0,2000
Cape Breton,October 2016,0,53000
Northumberland Shore,October 2016,0,17000
Bay of Fundy/Annapolis Valley,October 2016,0,30000
Yarmouth/Acadian Shores,October 2016,0,5000
Province,October 2016,0,242000
South Shore,November 2016,0,9000
Halifax Metro,November 2016,0,106000
Eastern Shore,November 2016,0,0
Cape Breton,November 2016,0,23000
Northumberland Shore,November 2016,0,10000
Bay of Fundy/Annapolis Valley,November 2016,0,19000
Yarmouth/Acadian Shores,November 2016,0,4000
Province,November 2016,0,172000
South Shore,December 2016,0,7000
Halifax Metro,December 2016,0,80000
Eastern Shore,December 2016,0,0
Cape Breton,December 2016,0,16000
Northumberland Shore,December 2016,0,8000
Bay of Fundy/Annapolis Valley,December 2016,0,12000
Yarmouth/Acadian Shores,December 2016,0,3000
Province,December 2016,0,126000
South Shore,January 2017,0,6000
Halifax Metro,January 2017,0,75000
Eastern Shore,January 2017,0,0
Cape Breton,January 2017,0,13000
Northumberland Shore,January 2017,0,8000
Bay of Fundy/Annapolis Valley,January 2017,0,11000
Yarmouth/Acadian Shores,January 2017,0,3000
Province,January 2017,0,116000
South Shore,February 2017,0,8000
Halifax Metro,February 2017,0,82000
Eastern Shore,February 2017,0,0
Cape Breton,February 2017,0,13000
Northumberland Shore,February 2017,0,8000
Bay of Fundy/Annapolis Valley,February 2017,0,14000
Yarmouth/Acadian Shores,February 2017,0,4000
Province,February 2017,0,130000
South Shore,March 2017,0,8000
Halifax Metro,March 2017,0,109000
Eastern Shore,March 2017,0,0
Cape Breton,March 2017,0,20000
Northumberland Shore,March 2017,0,11000
Bay of Fundy/Annapolis Valley,March 2017,0,18000
Yarmouth/Acadian Shores,March 2017,0,4000
Province,March 2017,0,171000
South Shore,April 2017,0,9000
Halifax Metro,April 2017,0,104000
Eastern Shore,April 2017,0,0
Cape Breton,April 2017,0,18000
Northumberland Shore,April 2017,0,10000
Bay of Fundy/Annapolis Valley,April 2017,0,18000
Yarmouth/Acadian Shores,April 2017,0,3000
Province,April 2017,0,162000
South Shore,May 2017,0,13000
Halifax Metro,May 2017,0,132000
Eastern Shore,May 2017,0,1000
Cape Breton,May 2017,0,32000
Northumberland Shore,May 2017,0,18000
Bay of Fundy/Annapolis Valley,May 2017,0,29000
Yarmouth/Acadian Shores,May 2017,0,5000
Province,May 2017,0,230000
South Shore,June 2017,0,19000
Halifax Metro,June 2017,0,145000
Eastern Shore,June 2017,0,2000
Cape Breton,June 2017,0,52000
Northumberland Shore,June 2017,0,23000
Bay of Fundy/Annapolis Valley,June 2017,0,35000
Yarmouth/Acadian Shores,June 2017,0,8000
Province,June 2017,0,283000
South Shore,July 2017,0,29000
Halifax Metro,July 2017,0,171000
Eastern Shore,July 2017,0,4000
Cape Breton,July 2017,0,84000
Northumberland Shore,July 2017,0,30000
Bay of Fundy/Annapolis Valley,July 2017,0,64000
Yarmouth/Acadian Shores,July 2017,0,10000
Province,July 2017,0,392000
South Shore,August 2017,0,33000
Halifax Metro,August 2017,0,163000
Eastern Shore,August 2017,0,5000
Cape Breton,August 2017,0,90000
Northumberland Shore,August 2017,0,30000
Bay of Fundy/Annapolis Valley,August 2017,0,59000
Yarmouth/Acadian Shores,August 2017,0,10000
Province,August 2017,0,390000
South Shore,September 2017,0,27000
Halifax Metro,September 2017,0,142000
Eastern Shore,September 2017,0,4000
Cape Breton,September 2017,0,71000
Northumberland Shore,September 2017,0,24000
Bay of Fundy/Annapolis Valley,September 2017,0,48000
Yarmouth/Acadian Shores,September 2017,0,9000
Province,September 2017,0,325000
South Shore,October 2017,0,18000
Halifax Metro,October 2017,0,130000
Eastern Shore,October 2017,0,2000
Cape Breton,October 2017,0,52000
Northumberland Shore,October 2017,0,21000
Bay of Fundy/Annapolis Valley,October 2017,0,32000
Yarmouth/Acadian Shores,October 2017,0,6000
Province,October 2017,0,260000
South Shore,November 2017,0,9000
Halifax Metro,November 2017,0,111000
Eastern Shore,November 2017,0,1000
Cape Breton,November 2017,0,21000
Northumberland Shore,November 2017,0,11000
Bay of Fundy/Annapolis Valley,November 2017,0,20000
Yarmouth/Acadian Shores,November 2017,0,4000
Province,November 2017,0,177000
South Shore,December 2017,0,8000
Halifax Metro,December 2017,0,76000
Eastern Shore,December 2017,0,0
Cape Breton,December 2017,0,14000
Northumberland Shore,December 2017,0,8000
Bay of Fundy/Annapolis Valley,December 2017,0,15000
Yarmouth/Acadian Shores,December 2017,0,3000
Province,December 2017,0,123000
South Shore,January 2018,0,6000
Halifax Metro,January 2018,0,77000
Eastern Shore,January 2018,0,
Cape Breton,January 2018,0,12000
Northumberland Shore,January 2018,0,8000
Bay of Fundy/Annapolis Valley,January 2018,0,13000
Yarmouth/Acadian Shores,January 2018,0,3000
Province,January 2018,0,118000
South Shore,February 2018,0,7000
Halifax Metro,February 2018,0,79000
Eastern Shore,February 2018,0,
Cape Breton,February 2018,0,13000
Northumberland Shore,February 2018,0,8000
Bay of Fundy/Annapolis Valley,February 2018,0,15000
Yarmouth/Acadian Shores,February 2018,0,4000
Province,February 2018,0,126000
South Shore,March 2018,0,9000
Halifax Metro,March 2018,0,113000
Eastern Shore,March 2018,0,
Cape Breton,March 2018,0,17000
Northumberland Shore,March 2018,0,9000
Bay of Fundy/Annapolis Valley,March 2018,0,19000
Yarmouth/Acadian Shores,March 2018,0,4000
Province,March 2018,0,171000
South Shore,April 2018,0,9000
Halifax Metro,April 2018,0,115000
Eastern Shore,April 2018,0,
Cape Breton,April 2018,0,16000
Northumberland Shore,April 2018,0,9000
Bay of Fundy/Annapolis Valley,April 2018,0,17000
Yarmouth/Acadian Shores,April 2018,0,7000
Province,April 2018,0,174000
South Shore,May 2018,0,13000
Halifax Metro,May 2018,0,141000
Eastern Shore,May 2018,0,1000
Cape Breton,May 2018,0,30000
Northumberland Shore,May 2018,0,18000
Bay of Fundy/Annapolis Valley,May 2018,0,26000
Yarmouth/Acadian Shores,May 2018,0,5000
Province,May 2018,0,234000
South Shore,June 2018,0,20000
Halifax Metro,June 2018,0,160000
Eastern Shore,June 2018,0,2000
Cape Breton,June 2018,0,49000
Northumberland Shore,June 2018,0,21000
Bay of Fundy/Annapolis Valley,June 2018,0,35000
Yarmouth/Acadian Shores,June 2018,0,7000
Province,June 2018,0,293000
South Shore,July 2018,0,28000
Halifax Metro,July 2018,0,171000
Eastern Shore,July 2018,0,3000
Cape Breton,July 2018,0,74000
Northumberland Shore,July 2018,0,30000
Bay of Fundy/Annapolis Valley,July 2018,0,58000
Yarmouth/Acadian Shores,July 2018,0,10000
Province,July 2018,0,374000
South Shore,August 2018,0,33000
Halifax Metro,August 2018,0,177000
Eastern Shore,August 2018,0,4000
Cape Breton,August 2018,0,86000
Northumberland Shore,August 2018,0,36000
Bay of Fundy/Annapolis Valley,August 2018,0,66000
Yarmouth/Acadian Shores,August 2018,0,11000
Province,August 2018,0,412000
South Shore,September 2018,0,27000
Halifax Metro,September 2018,0,148000
Eastern Shore,September 2018,0,4000
Cape Breton,September 2018,0,68000
Northumberland Shore,September 2018,0,24000
Bay of Fundy/Annapolis Valley,September 2018,0,45000
Yarmouth/Acadian Shores,September 2018,0,9000
Province,September 2018,0,323000
South Shore,October 2018,0,16000
Halifax Metro,October 2018,0,133000
Eastern Shore,October 2018,0,2000
Cape Breton,October 2018,0,50000
Northumberland Shore,October 2018,0,18000
Bay of Fundy/Annapolis Valley,October 2018,0,33000
