Region,Month/Year,Occupancy Rate,Room nights sold (Rounded to nearest thousand)
Yarmouth/Acadian Shores,October 2018,0,6000
Province,October 2018,0,257000
South Shore,November 2018,0,9000
Halifax Metro,November 2018,0,107000
Eastern Shore,November 2018,0,1000
Cape Breton,November 2018,0,19000
Northumberland Shore,November 2018,0,11000
Bay of Fundy/Annapolis Valley,November 2018,0,20000
Yarmouth/Acadian Shores,November 2018,0,4000
Province,November 2018,0,171000
South Shore,December 2018,0,8000
Halifax Metro,December 2018,0,73000
Eastern Shore,December 2018,0,1000
Cape Breton,December 2018,0,15000
Northumberland Shore,December 2018,0,8000
Bay of Fundy/Annapolis Valley,December 2018,0,13000
Yarmouth/Acadian Shores,December 2018,0,3000
Province,December 2018,0,119000
South Shore,January 2019,0,6000
Halifax Metro,January 2019,0,75000
Eastern Shore,January 2019,0,
Cape Breton,January 2019,0,12000
Northumberland Shore,January 2019,0,7000
Bay of Fundy/Annapolis Valley,January 2019,0,12000
Yarmouth/Acadian Shores,January 2019,0,3000
Province,January 2019,0,116000
South Shore,February 2019,0,8000
Halifax Metro,February 2019,0,80000
Eastern Shore,February 2019,0,
Cape Breton,February 2019,0,17000
Northumberland Shore,February 2019,0,8000
Bay of Fundy/Annapolis Valley,February 2019,0,14000
Yarmouth/Acadian Shores,February 2019,0,3000
Province,February 2019,0,131000
South Shore,March 2019,0,9000
Halifax Metro,March 2019,0,109000
Eastern Shore,March 2019,0,
Cape Breton,March 2019,0,19000
Northumberland Shore,March 2019,0,10000
Bay of Fundy/Annapolis Valley,March 2019,0,17000
Yarmouth/Acadian Shores,March 2019,0,4000
Province,March 2019,0,168000
South Shore,April 2019,0,8000
Halifax Metro,April 2019,0,108000
Eastern Shore,April 2019,0,
Cape Breton,April 2019,0,16000
Northumberland Shore,April 2019,0,9000
Bay of Fundy/Annapolis Valley,April 2019,0,15000
Yarmouth/Acadian Shores,April 2019,0,4000
Province,April 2019,0,161000
South Shore,May 2019,0,13000
Halifax Metro,May 2019,0,138000
Eastern Shore,May 2019,0,1000
Cape Breton,May 2019,0,28000
Northumberland Shore,May 2019,0,18000
Bay of Fundy/Annapolis Valley,May 2019,0,28000
Yarmouth/Acadian Shores,May 2019,0,5000
Province,May 2019,0,230000
South Shore,June 2019,0,19000
Halifax Metro,June 2019,0,156000
Eastern Shore,June 2019,0,2000
Cape Breton,June 2019,0,47000
Northumberland Shore,June 2019,0,19000
Bay of Fundy/Annapolis Valley,June 2019,0,35000
Yarmouth/Acadian Shores,June 2019,0,5000
Province,June 2019,0,283000
South Shore,July 2019,0,27000
Halifax Metro,July 2019,0,181000
Eastern Shore,July 2019,0,3000
Cape Breton,July 2019,0,73000
Northumberland Shore,July 2019,0,30000
Bay of Fundy/Annapolis Valley,July 2019,0,51000
Yarmouth/Acadian Shores,July 2019,0,7000
Province,July 2019,0,372000
South Shore,August 2019,0,32000
Halifax Metro,August 2019,0,185000
Eastern Shore,August 2019,0,4000
Cape Breton,August 2019,0,83000
Northumberland Shore,August 2019,0,30000
Bay of Fundy/Annapolis Valley,August 2019,0,56000
Yarmouth/Acadian Shores,August 2019,0,7000
Province,August 2019,0,397000
South Shore,September 2019,0,25000
Halifax Metro,September 2019,0,155000
Eastern Shore,September 2019,0,3000
Cape Breton,September 2019,0,62000
Northumberland Shore,September 2019,0,21000
Bay of Fundy/Annapolis Valley,September 2019,0,42000
Yarmouth/Acadian Shores,September 2019,0,7000
Province,September 2019,0,315000
South Shore,October 2019,0,17000
Halifax Metro,October 2019,0,140000
Eastern Shore,October 2019,0,2000
Cape Breton,October 2019,0,53000
Northumberland Shore,October 2019,0,18000
Bay of Fundy/Annapolis Valley,October 2019,0,31000
Yarmouth/Acadian Shores,October 2019,0,5000
Province,October 2019,0,265000
South Shore,November 2019,0,9000
Halifax Metro,November 2019,0,114000
Eastern Shore,November 2019,0,1000
Cape Breton,November 2019,0,19000
Northumberland Shore,November 2019,0,12000
Bay of Fundy/Annapolis Valley,November 2019,0,21000
Yarmouth/Acadian Shores,November 2019,0,4000
Province,November 2019,0,180000
South Shore,December 2019,0,6000
Halifax Metro,December 2019,0,82000
Eastern Shore,December 2019,0,
Cape Breton,December 2019,0,13000
Northumberland Shore,December 2019,0,8000
Bay of Fundy/Annapolis Valley,December 2019,0,12000
Yarmouth/Acadian Shores,December 2019,0,3000
Province,December 2019,0,125000
Halifax Metro,January 2020,0,86000
South Shore,January 2020,0,4000
Eastern Shore,January 2020,0,
Cape Breton,January 2020,0,11000
Northumberland Shore,January 2020,0,8000
Bay of Fundy/Annapolis Valley,January 2020,0,12000
Yarmouth/Acadian Shores,January 2020,0,3000
Province,January 2020,0,124000
Halifax Metro,February 2020,0,91000
South Shore,February 2020,0,7000
Eastern Shore,February 2020,0,
Cape Breton,February 2020,0,14000
Northumberland Shore,February 2020,0,8000
Bay of Fundy/Annapolis Valley,February 2020,0,16000
Yarmouth/Acadian Shores,February 2020,0,4000
Province,February 2020,0,140000
Halifax Metro,March 2020,0,61000
South Shore,March 2020,0,4000
Eastern Shore,March 2020,0,
Cape Breton,March 2020,0,10000
Northumberland Shore,March 2020,0,6000
Bay of Fundy/Annapolis Valley,March 2020,0,9000
Yarmouth/Acadian Shores,March 2020,0,2000
Province,March 2020,0,94000
Halifax Metro,April 2020,0,29000
South Shore,April 2020,0,3000
Eastern Shore,April 2020,0,
Cape Breton,April 2020,0,3000
Northumberland Shore,April 2020,0,3000
Bay of Fundy/Annapolis Valley,April 2020,0,4000
Yarmouth/Acadian Shores,April 2020,0,1000
Province,April 2020,0,42000
Halifax Metro,May 2020,0,34000
South Shore,May 2020,0,3000
Eastern Shore,May 2020,0,
Cape Breton,May 2020,0,5000
Northumberland Shore,May 2020,0,3000
Bay of Fundy/Annapolis Valley,May 2020,0,7000
Yarmouth/Acadian Shores,May 2020,0,1000
Province,May 2020,0,53000
Halifax Metro,June 2020,0,36000
South Shore,June 2020,0,6000
Eastern Shore,June 2020,0,1000
Cape Breton,June 2020,0,12000
Northumberland Shore,June 2020,0,6000
Bay of Fundy/Annapolis Valley,June 2020,0,10000
Yarmouth/Acadian Shores,June 2020,0,1000
Province,June 2020,0,72000
Halifax Metro,July 2020,0,48000
South Shore,July 2020,0,13000
Eastern Shore,July 2020,0,2000
Cape Breton,July 2020,0,26000
Northumberland Shore,July 2020,0,11000
Bay of Fundy/Annapolis Valley,July 2020,0,20000
Yarmouth/Acadian Shores,July 2020,0,3000
Province,July 2020,0,122000
Halifax Metro,August 2020,0,61000
South Shore,August 2020,0,20000
Eastern Shore,August 2020,0,3000
Cape Breton,August 2020,0,36000
Northumberland Shore,August 2020,0,15000
Bay of Fundy/Annapolis Valley,August 2020,0,28000
Yarmouth/Acadian Shores,August 2020,0,4000
Province,August 2020,0,166000
Halifax Metro,September 2020,0,57000
South Shore,September 2020,0,14000
Eastern Shore,September 2020,0,2000
Cape Breton,September 2020,0,29000
Northumberland Shore,September 2020,0,12000
Bay of Fundy/Annapolis Valley,September 2020,0,24000
Yarmouth/Acadian Shores,September 2020,0,5000
Province,September 2020,0,142000
Halifax Metro,October 2020,0,58000
South Shore,October 2020,0,11000
Eastern Shore,October 2020,0,2000
Cape Breton,October 2020,0,34000
Northumberland Shore,October 2020,0,13000
Bay of Fundy/Annapolis Valley,October 2020,0,19000
Yarmouth/Acadian Shores,October 2020,0,6000
Province,October 2020,0,143000
Halifax Metro,November 2020,0,51000
South Shore,November 2020,0,9000
Eastern Shore,November 2020,0,1000
Cape Breton,November 2020,0,14000
Northumberland Shore,November 2020,0,9000
Bay of Fundy/Annapolis Valley,November 2020,0,14000
Yarmouth/Acadian Shores,November 2020,0,7000
Province,November 2020,0,104000
Halifax Metro,December 2020,0,33000
South Shore,December 2020,0,6000
Eastern Shore,December 2020,0,0
Cape Breton,December 2020,0,8000
Northumberland Shore,December 2020,0,6000
Bay of Fundy/Annapolis Valley,December 2020,0,8000
Yarmouth/Acadian Shores,December 2020,0,3000
Province,December 2020,0,64000
Halifax Metro,January 2021,0,40000
South Shore,January 2021,0,6000
Eastern Shore,January 2021,0,0
Cape Breton,January 2021,0,10000
Northumberland Shore,January 2021,0,6000
Bay of Fundy/Annapolis Valley,January 2021,0,9000
Yarmouth/Acadian Shores,January 2021,0,2000
Province,January 2021,0,73000
Halifax Metro,February 2021,0,45000
South Shore,February 2021,0,7000
Eastern Shore,February 2021,0,0
Cape Breton,February 2021,0,12000
Northumberland Shore,February 2021,0,6000
Bay of Fundy/Annapolis Valley,February 2021,0,10000
Yarmouth/Acadian Shores,February 2021,0,3000
Province,February 2021,0,83000
Halifax Metro,March 2021,0,50000
South Shore,March 2021,0,8000
Eastern Shore,March 2021,0,0
Cape Breton,March 2021,0,15000
Northumberland Shore,March 2021,0,8000
Bay of Fundy/Annapolis Valley,March 2021,0,13000
Yarmouth/Acadian Shores,March 2021,0,4000
Province,March 2021,0,98000
Halifax Metro,April 2021,0,50000
South Shore,April 2021,0,6000
Eastern Shore,April 2021,0,0
Cape Breton,April 2021,0,12000
Northumberland Shore,April 2021,0,6000
Bay of Fundy/Annapolis Valley,April 2021,0,11000
Yarmouth/Acadian Shores,April 2021,0,3000
Province,April 2021,0,90000
Halifax Metro,May 2021,0,34000
South Shore,May 2021,0,5000
Eastern Shore,May 2021,0,0
Cape Breton,May 2021,0,6000
Northumberland Shore,May 2021,0,6000
Bay of Fundy/Annapolis Valley,May 2021,0,8000
Yarmouth/Acadian Shores,May 2021,0,2000
Province,May 2021,0,61000
Halifax Metro,June 2021,0,42000
South Shore,June 2021,0,10000
Eastern Shore,June 2021,0,1000
Cape Breton,June 2021,0,15000
Northumberland Shore,June 2021,0,11000
Bay of Fundy/Annapolis Valley,June 2021,0,17000
Yarmouth/Acadian Shores,June 2021,0,5000
Province,June 2021,0,100000
Halifax Metro,July 2021,0,89000
South Shore,July 2021,0,21000
Eastern Shore,July 2021,0,2000
Cape Breton,July 2021,0,35000
Northumberland Shore,July 2021,0,20000
Bay of Fundy/Annapolis Valley,July 2021,0,33000
Yarmouth/Acadian Shores,July 2021,0,7000
Province,July 2021,0,206000
Halifax Metro,August 2021,0,142000
South Shore,August 2021,0,29000
Eastern Shore,August 2021,0,3000
Cape Breton,August 2021,0,54000
Northumberland Shore,August 2021,0,24000
Bay of Fundy/Annapolis Valley,August 2021,0,45000
Yarmouth/Acadian Shores,August 2021,0,10000
Province,August 2021,0,307000
South Shore,September 2021,0,24000
Halifax Metro,September 2021,0,130000
Eastern Shore,September 2021,0,2000
Cape Breton,September 2021,0,48000
Northumberland Shore,September 2021,0,20000
Bay of Fundy/Annapolis Valley,September 2021,0,39000
Yarmouth/Acadian Shores,September 2021,0,8000
Province,September 2021,0,273000
South Shore,October 2021,0,18000
Halifax Metro,October 2021,0,107000
Eastern Shore,October 2021,0,2000
Cape Breton,October 2021,0,37000
Northumberland Shore,October 2021,0,16000
Bay of Fundy/Annapolis Valley,October 2021,0,31000
Yarmouth/Acadian Shores,October 2021,0,7000
Province,October 2021,0,219000
South Shore,November 2021,0,11000
Halifax Metro,November 2021,0,94000
Eastern Shore,November 2021,0,0
Cape Breton,November 2021,0,18000
Northumberland Shore,November 2021,0,11000
Bay of Fundy/Annapolis Valley,November 2021,0,20000
Yarmouth/Acadian Shores,November 2021,0,6000
Province,November 2021,0,161000
South Shore,December 2021,0,8000
Halifax Metro,December 2021,0,78000
Eastern Shore,December 2021,0,0
Cape Breton,December 2021,0,13000
Northumberland Shore,December 2021,0,5000
Bay of Fundy/Annapolis Valley,December 2021,0,15000
Yarmouth/Acadian Shores,December 2021,0,4000
Province,December 2021,0,122000
South Shore,January 2022,0,6000
Halifax Metro,January 2022,0,54000
Eastern Shore,January 2022,0,0
Cape Breton,January 2022,0,10000
Northumberland Shore,January 2022,0,5000
Bay of Fundy/Annapolis Valley,January 2022,0,11000
Yarmouth/Acadian Shores,January 2022,0,3000
Province,January 2022,0,89000
South Shore,February 2022,0,8000
Halifax Metro,February 2022,0,67000
Eastern Shore,February 2022,0,0
Cape Breton,February 2022,0,14000
Northumberland Shore,February 2022,0,6000
Bay of Fundy/Annapolis Valley,February 2022,0,15000
Yarmouth/Acadian Shores,February 2022,0,3000
Province,February 2022,0,113000
South Shore,March 2022,0,11000
Halifax Metro,March 2022,0,108000
Eastern Shore,March 2022,0,0
Cape Breton,March 2022,0,20000
Northumberland Shore,March 2022,0,10000
Bay of Fundy/Annapolis Valley,March 2022,0,20000
Yarmouth/Acadian Shores,March 2022,0,5000
Province,March 2022,0,174000
South Shore,April 2022,0,11000
Halifax Metro,April 2022,0,112000
Eastern Shore,April 2022,0,0
Cape Breton,April 2022,0,18000
Northumberland Shore,April 2022,0,10000
Bay of Fundy/Annapolis Valley,April 2022,0,20000
Yarmouth/Acadian Shores,April 2022,0,4000
Province,April 2022,0,176000
South Shore,May 2022,0,20000
Halifax Metro,May 2022,0,135000
Eastern Shore,May 2022,0,1000
Cape Breton,May 2022,0,31000
Northumberland Shore,May 2022,0,18000
Bay of Fundy/Annapolis Valley,May 2022,0,29000
Yarmouth/Acadian Shores,May 2022,0,6000
Province,May 2022,0,240000
South Shore,June 2022,0,23000
Halifax Metro,June 2022,0,172000
Eastern Shore,June 2022,0,2000
Cape Breton,June 2022,0,49000
Northumberland Shore,June 2022,0,23000
Bay of Fundy/Annapolis Valley,June 2022,0,35000
Yarmouth/Acadian Shores,June 2022,0,8000
Province,June 2022,0,312000
South Shore,July 2022,0,31000
Halifax Metro,July 2022,0,194000
Eastern Shore,July 2022,0,4000
Cape Breton,July 2022,0,77000
Northumberland Shore,July 2022,0,28000
Bay of Fundy/Annapolis Valley,July 2022,0,50000
Yarmouth/Acadian Shores,July 2022,0,12000
Province,July 2022,0,395000
South Shore,August 2022,0,32000
Halifax Metro,August 2022,0,187000
Eastern Shore,August 2022,0,4000
Cape Breton,August 2022,0,81000
Northumberland Shore,August 2022,0,31000
Bay of Fundy/Annapolis Valley,August 2022,0,52000
Yarmouth/Acadian Shores,August 2022,0,14000
Province,August 2022,0,400000
South Shore,September 2022,0,25000
Halifax Metro,September 2022,0,158000
Eastern Shore,September 2022,0,3000
Cape Breton,September 2022,0,60000
Northumberland Shore,September 2022,0,24000
Bay of Fundy/Annapolis Valley,September 2022,0,45000
Yarmouth/Acadian Shores,September 2022,0,10000
Province,September 2022,0,324000
South Shore,October 2022,0,19000
Halifax Metro,October 2022,0,154000
Eastern Shore,October 2022,0,2000
Cape Breton,October 2022,0,54000
Northumberland Shore,October 2022,0,24000
Bay of Fundy/Annapolis Valley,October 2022,0,39000
Yarmouth/Acadian Shores,October 2022,0,8000
Province,October 2022,0,300000
South Shore,November 2022,0,13000
Halifax Metro,November 2022,0,124000
Eastern Shore,November 2022,0,1000
Cape Breton,November 2022,0,26000
Northumberland Shore,November 2022,0,18000
Bay of Fundy/Annapolis Valley,November 2022,0,26000
Yarmouth/Acadian Shores,November 2022,0,6000
Province,November 2022,0,215000
South Shore,December 2022,0,10000
Halifax Metro,December 2022,0,94000
Eastern Shore,December 2022,0,0
Cape Breton,December 2022,0,18000
Northumberland Shore,December 2022,0,11000
Bay of Fundy/Annapolis Valley,December 2022,0,20000
Yarmouth/Acadian Shores,December 2022,0,7000
Province,December 2022,0,159000
South Shore,January 2023,0,8000
Halifax Metro,January 2023,0,94000
Eastern Shore,January 2023,0,0
Cape Breton,January 2023,0,17000
Northumberland Shore,January 2023,0,9000
Bay of Fundy/Annapolis Valley,January 2023,0,17000
Yarmouth/Acadian Shores,January 2023,0,4000
Province,January 2023,0,149000
South Shore,February 2023,0,9000
Halifax Metro,February 2023,0,100000
Eastern Shore,February 2023,0,0
Cape Breton,February 2023,0,17000
Northumberland Shore,February 2023,0,10000
Bay of Fundy/Annapolis Valley,February 2023,0,20000
Yarmouth/Acadian Shores,February 2023,0,4000
Province,February 2023,0,159000
South Shore,March 2023,0,11000
Halifax Metro,March 2023,0,130000
Eastern Shore,March 2023,0,0
Cape Breton,March 2023,0,21000
Northumberland Shore,March 2023,0,13000
Bay of Fundy/Annapolis Valley,March 2023,0,24000
Yarmouth/Acadian Shores,March 2023,0,5000
Province,March 2023,0,203000
South Shore,April 2023,0,11000
Halifax Metro,April 2023,0,112000
Eastern Shore,April 2023,0,1000
Cape Breton,April 2023,0,21000
Northumberland Shore,April 2023,0,11000
Bay of Fundy/Annapolis Valley,April 2023,0,23000
Yarmouth/Acadian Shores,April 2023,0,5000
Province,April 2023,0,183000
South Shore,May 2023,0,15000
Halifax Metro,May 2023,0,140000
Eastern Shore,May 2023,0,2000
Cape Breton,May 2023,0,34000
Northumberland Shore,May 2023,0,18000
Bay of Fundy/Annapolis Valley,May 2023,0,32000
Yarmouth/Acadian Shores,May 2023,0,7000
Province,May 2023,0,248000
South Shore,June 2023,0,22000
Halifax Metro,June 2023,0,166000
Eastern Shore,June 2023,0,2000
Cape Breton,June 2023,0,50000
Northumberland Shore,June 2023,0,22000
Bay of Fundy/Annapolis Valley,June 2023,0,40000
Yarmouth/Acadian Shores,June 2023,0,9000
Province,June 2023,0,312000
South Shore,July 2023,0,28000
Halifax Metro,July 2023,0,191000
Eastern Shore,July 2023,0,4000
Cape Breton,July 2023,0,70000
Northumberland Shore,July 2023,0,28000
Bay of Fundy/Annapolis Valley,July 2023,0,57000
Yarmouth/Acadian Shores,July 2023,0,11000
Province,July 2023,0,390000
South Shore,August 2023,0,31000
Halifax Metro,August 2023,0,170000
Eastern Shore,August 2023,0,4000
Cape Breton,August 2023,0,76000
Northumberland Shore,August 2023,0,29000
Bay of Fundy/Annapolis Valley,August 2023,0,52000
Yarmouth/Acadian Shores,August 2023,0,12000
Province,August 2023,0,374000
South Shore,September 2023,0,25000
Halifax Metro,September 2023,0,153000
Eastern Shore,September 2023,0,3000
Cape Breton,September 2023,0,59000
Northumberland Shore,September 2023,0,24000
Bay of Fundy/Annapolis Valley,September 2023,0,43000
Yarmouth/Acadian Shores,September 2023,0,9000
Province,September 2023,0,315000
South Shore,October 2023,0,19000
Halifax Metro,October 2023,0,144000
Eastern Shore,October 2023,0,2000
Cape Breton,October 2023,0,51000
Northumberland Shore,October 2023,0,20000
Bay of Fundy/Annapolis Valley,October 2023,0,36000
Yarmouth/Acadian Shores,October 2023,0,6000
Province,October 2023,0,279000
South Shore,November 2023,0,13000
Halifax Metro,November 2023,0,127000
Eastern Shore,November 2023,0,1000
Cape Breton,November 2023,0,22000
Northumberland Shore,November 2023,0,16000
Bay of Fundy/Annapolis Valley,November 2023,0,24000
Yarmouth/Acadian Shores,November 2023,0,6000
Province,November 2023,0,209000
South Shore,December 2023,0,10000
Halifax Metro,December 2023,0,92000
Eastern Shore,December 2023,0,0
Cape Breton,December 2023,0,17000
Northumberland Shore,December 2023,0,11000
Bay of Fundy/Annapolis Valley,December 2023,0,20000
Yarmouth/Acadian Shores,December 2023,0,4000
Province,December 2023,0,155000
South Shore,January 2024,0,7000
Halifax Metro,January 2024,0,85000
Eastern Shore,January 2024,0,0
Cape Breton,January 2024,0,16000
Northumberland Shore,January 2024,0,10000
Bay of Fundy/Annapolis Valley,January 2024,0,17000
Yarmouth/Acadian Shores,January 2024,0,4000
Province,January 2024,0,139000
South Shore,February 2024,0,9000
Halifax Metro,February 2024,0,95000
Eastern Shore,February 2024,0,0
Cape Breton,February 2024,0,17000
Northumberland Shore,February 2024,0,10000
Bay of Fundy/Annapolis Valley,February 2024,0,19000
Yarmouth/Acadian Shores,February 2024,0,4000
Province,February 2024,0,155000
South Shore,March 2024,0,11000
Halifax Metro,March 2024,0,118000
Eastern Shore,March 2024,0,0
Cape Breton,March 2024,0,23000
Northumberland Shore,March 2024,0,12000
Bay of Fundy/Annapolis Valley,March 2024,0,19000
Yarmouth/Acadian Shores,March 2024,0,5000
Province,March 2024,0,188000
South Shore,April 2024,0,11000
Halifax Metro,April 2024,0,124000
Eastern Shore,April 2024,0,0
Cape Breton,April 2024,0,21000
Northumberland Shore,April 2024,0,13000
Bay of Fundy/Annapolis Valley,April 2024,0,19000
Yarmouth/Acadian Shores,April 2024,0,5000
Province,April 2024,0,195000
South Shore,May 2024,0,16000
Halifax Metro,May 2024,0,163000
Eastern Shore,May 2024,0,2000
Cape Breton,May 2024,0,34000
Northumberland Shore,May 2024,0,17000
Bay of Fundy/Annapolis Valley,May 2024,0,27000
Yarmouth/Acadian Shores,May 2024,0,7000
Province,May 2024,0,265000
South Shore,June 2024,0,22000
Halifax Metro,June 2024,0,174000
Eastern Shore,June 2024,0,3000
Cape Breton,June 2024,0,52000
Northumberland Shore,June 2024,0,21000
Bay of Fundy/Annapolis Valley,June 2024,0,35000
Yarmouth/Acadian Shores,June 2024,0,8000
Province,June 2024,0,314000
South Shore,July 2024,0,30000
Halifax Metro,July 2024,0,180000
Eastern Shore,July 2024,0,3000
Cape Breton,July 2024,0,71000
Northumberland Shore,July 2024,0,27000
Bay of Fundy/Annapolis Valley,July 2024,0,50000
Yarmouth/Acadian Shores,July 2024,0,11000
Province,July 2024,0,373000
South Shore,August 2024,0,32000
Halifax Metro,August 2024,0,189000
Eastern Shore,August 2024,0,4000
Cape Breton,August 2024,0,76000
Northumberland Shore,August 2024,0,28000
Bay of Fundy/Annapolis Valley,August 2024,0,50000
Yarmouth/Acadian Shores,August 2024,0,13000
Province,August 2024,0,393000
South Shore,September 2024,0,26000
Halifax Metro,September 2024,0,164000
Eastern Shore,September 2024,0,3000
Cape Breton,September 2024,0,61000
Northumberland Shore,September 2024,0,24000
Bay of Fundy/Annapolis Valley,September 2024,0,41000
Yarmouth/Acadian Shores,September 2024,0,10000
Province,September 2024,0,330000
